,count
shirt,14
sports,13
size,11
fabric,9
training,9
this,9
comfortable,9
fit,8
soft,8
women,7
material,7
yoga,6
you,6
neck,6
breathable,6
suitable,6
very,6
jogging,5
ideal,5
please,5
long,5
round,5
daily,5
not,5
your,5
drying,5
quick,5
wear,5
fitness,5
comfort,4
shirts,4
chart,4
cycling,4
outdoor,4
activities,4
dry,4
running,4
more,4
short,4
skin,4
sweat,4
with,4
which,4
hiking,3
tech,3
any,3
during,3
such,3
strength,3
easy,3
wash,3
indoor,3
hem,3
loose,3
all,3
use,3
zumba,3
gym,3
sleeved,3
reduces,3
made,3
back,3
open,3
top,3
collar,3
exercise,3
